               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.012974,           0.0063246,           0.0014258,             0.99322,             0.98968,             0.99386,             0.91779,           0.0061575,           0.0030643,          0.00050467,           0.0093466,           0.0093466,           0.0093466
                  35,            0.012858,           0.0063399,           0.0020434,             0.99618,             0.98698,             0.99003,             0.92302,           0.0059594,           0.0031514,          0.00052725,           0.0093268,           0.0093268,           0.0093268
                  36,            0.012681,           0.0062552,           0.0014913,             0.99037,             0.98891,              0.9873,             0.90943,           0.0060804,           0.0030838,           0.0004558,            0.009307,            0.009307,            0.009307
                  37,            0.013239,           0.0062221,           0.0016088,             0.99462,             0.98746,             0.99276,             0.91329,           0.0061331,           0.0031227,          0.00051865,           0.0092872,           0.0092872,           0.0092872
                  38,            0.013077,           0.0064043,           0.0014719,             0.99045,             0.99097,             0.99218,             0.92323,           0.0060604,           0.0030627,          0.00046537,           0.0092674,           0.0092674,           0.0092674
                  39,            0.012824,           0.0061598,           0.0015009,             0.99385,             0.98859,             0.98894,             0.92086,           0.0056793,           0.0031321,          0.00051909,           0.0092476,           0.0092476,           0.0092476
                  40,            0.013016,           0.0062595,           0.0020512,             0.99342,             0.98959,             0.99102,             0.92621,           0.0058503,           0.0030672,          0.00048587,           0.0092278,           0.0092278,           0.0092278
                  41,            0.012593,           0.0062037,           0.0013435,              0.9941,             0.98657,             0.98894,             0.92315,           0.0060644,           0.0029737,          0.00070283,            0.009208,            0.009208,            0.009208
                  42,            0.012463,           0.0062659,           0.0014444,             0.99303,             0.98672,             0.99277,             0.92488,           0.0059449,           0.0029528,          0.00062064,           0.0091882,           0.0091882,           0.0091882
                  43,            0.012636,           0.0061027,           0.0011865,             0.99058,             0.99245,              0.9929,             0.92869,           0.0059017,           0.0029469,          0.00050889,           0.0091684,           0.0091684,           0.0091684
                  44,            0.012552,           0.0061216,           0.0013535,             0.99445,             0.98825,             0.99262,             0.92679,           0.0059251,           0.0029337,          0.00049039,           0.0091486,           0.0091486,           0.0091486
                  45,            0.012065,           0.0061408,            0.001175,             0.99384,             0.99217,             0.99248,             0.92339,           0.0057033,           0.0029304,          0.00054834,           0.0091288,           0.0091288,           0.0091288
                  46,            0.012663,           0.0059389,           0.0014815,             0.98998,             0.98831,             0.99368,             0.92682,           0.0059221,           0.0029703,          0.00055331,            0.009109,            0.009109,            0.009109
